,agency_ambiguous,agency_anthropogenic,agency_nonanthropogenic,alteration_fauna,alteration_flora,alteration_human_bodies,antisocial_into_prosocial,authoritarianism_ableist,authoritarianism_ageism,authoritarianism_androcentrism,authoritarianism_cultural,authoritarianism_health,authoritarianism_market,authoritarianism_racism,authoritarianism_religion,authoritarianism_reproduction,authoritarianism_social,authoritarianism_technological,censorship,conflict_economic,conflict_information,conflict_intrapolity,depletion_biosphere,event_subversion,familism,government_corporate,government_degradation,government_military,government_nonhuman,government_oligarchical,kernel_extrasocietal,kernel_inconclusive,kernel_intrasocietal,kernel_natural,kernel_nonspecified,ontological_alteration,population_decline,prosocial_into_antisocial,scale_continental,scale_local,scale_multiplanetary,scale_multiversal,scale_planetary,segregationism_social,type_environmental,type_metaphysical,type_subversion,type_war,use_of_force_civilians
agency_ambiguous,20,0,0,3,3,2,2,0,0,0,4,2,5,1,1,1,11,0,2,0,7,7,0,0,2,0,4,1,3,1,2,6,8,3,1,1,6,12,3,6,0,1,10,0,4,4,8,4,2
agency_anthropogenic,0,41,0,3,0,3,6,1,1,3,8,1,9,1,1,1,27,2,13,1,15,14,1,2,3,2,4,1,2,5,5,4,31,0,1,2,6,18,3,17,2,1,18,6,1,3,22,13,9
agency_nonanthropogenic,0,0,9,0,0,0,2,0,0,0,1,2,3,0,0,0,2,0,2,0,2,2,1,0,2,0,4,1,0,1,5,0,1,3,0,0,2,6,1,2,0,0,6,1,3,0,4,2,3
alteration_fauna,3,3,0,6,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4,1,0,0,0,3,0,1,0,0,4,1,1,0,0,1,4,0,2,0,0,4,0,1,0,3,2,0
alteration_flora,3,0,0,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,1,0,1,0,0,2,0,1,0,2,0,0
alteration_human_bodies,2,3,0,0,0,5,0,0,0,0,1,0,3,0,0,0,2,0,0,0,2,2,0,1,0,0,1,0,1,1,1,1,2,1,0,2,0,1,1,2,1,0,1,0,2,0,2,0,0
antisocial_into_prosocial,2,6,2,1,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,6,0,1,2,0,0,2,1,7,0,0,0,0,10,1,2,1,0,6,0,1,0,3,5,3
authoritarianism_ableist,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
authoritarianism_ageism,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
authoritarianism_androcentrism,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,0,1,1,0,0,2,1,2
authoritarianism_cultural,4,8,1,1,1,1,0,0,0,0,13,0,4,0,1,0,9,0,5,0,5,4,0,0,0,0,1,0,0,0,1,2,9,1,0,0,2,4,1,6,0,0,6,0,2,2,7,2,1
authoritarianism_health,2,1,2,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0,0,0,0,2,1,0,0,0,1,1,0,2,2,0,1,2,0,0,0,4,0,2,0,0,3,1,0,1,3,1,1
authoritarianism_market,5,9,3,0,0,3,0,0,0,0,4,1,17,0,0,1,14,1,4,0,9,2,0,0,0,1,1,0,4,3,1,0,13,3,0,2,3,0,3,5,0,1,8,2,4,1,9,3,4
authoritarianism_racism,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0
authoritarianism_religion,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
authoritarianism_reproduction,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1
authoritarianism_social,11,27,2,1,1,2,0,0,1,1,9,2,14,1,2,2,40,2,13,1,19,5,0,0,0,2,4,0,3,6,6,5,26,1,2,1,11,13,4,15,0,2,19,4,2,5,23,10,7
authoritarianism_technological,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1
censorship,2,13,2,0,0,0,0,1,0,1,5,0,4,0,1,0,13,2,17,0,11,0,0,0,0,0,1,0,0,2,4,2,11,0,0,0,4,3,3,6,0,0,8,4,2,2,9,4,5
conflict_economic,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
conflict_information,7,15,2,0,0,2,0,0,0,0,5,0,9,0,0,0,19,0,11,0,24,2,0,0,0,1,0,0,3,4,5,2,15,1,1,1,7,7,4,10,0,2,8,1,4,5,10,5,5
conflict_intrapolity,7,14,2,4,2,2,9,0,0,0,4,2,2,0,0,0,5,0,0,0,2,23,1,2,7,0,4,3,1,0,5,5,12,1,0,1,2,18,1,9,1,0,12,0,3,1,7,10,4
depletion_biosphere,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0
event_subversion,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
familism,2,3,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,7,0,0,1,0,0,2,1,4,0,0,0,0,7,1,2,0,0,4,0,0,0,3,3,2
government_corporate,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
government_degradation,4,4,4,3,2,1,1,0,0,0,1,1,1,2,0,0,4,0,1,0,0,4,1,1,0,0,12,0,0,0,2,1,4,4,1,1,4,8,0,5,1,0,6,0,2,0,6,3,1
government_military,1,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,3,0,1,0,0,2,0,1,1,0,1,1
government_nonhuman,3,2,0,1,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,5,0,0,1,3,1,0,2,0,1,1,1,0,1,2,0,1,1,1,2,0
